ID,Semantic_category
151252054,accessories
166323070,accessories
29065950,accessories
67087194,accessories
193109885,accessories
46901149,accessories
121099166,accessories
52553974,accessories
191842107,accessories
190298728,accessories
86483800,accessories
194918735,accessories
194918733,accessories
105958481,accessories
204641014,accessories
24269716,accessories
138615651,accessories
211950429,accessories
131107817,accessories
10776218,accessories
206564053,accessories
157118711,accessories
84302276,accessories
133726502,accessories
185349059,accessories
185922509,accessories
56019936,accessories
66910488,accessories
123767048,accessories
113627787,accessories
93731081,accessories
152675557,accessories
131586141,accessories
200386440,accessories
176320123,accessories
157691463,accessories
151988261,accessories
38790394,accessories
85551450,accessories
107884190,accessories
107417462,accessories
141497450,accessories
161911420,accessories
95437614,accessories
146685231,accessories
181107801,accessories
140392382,accessories
111063720,accessories
12748143,accessories
160801965,accessories
80241659,accessories
185157134,accessories
211189918,accessories
33831671,accessories
78680569,accessories
123823739,accessories
129480840,accessories
90586498,accessories
206447762,accessories
24626484,accessories
93046334,accessories
192577601,accessories
201124112,accessories
194918522,accessories
100316403,accessories
194639388,accessories
158799011,accessories
167983125,accessories
42816751,accessories
212179084,accessories
178718976,accessories
142716989,accessories
76419726,accessories
119966298,accessories
119966292,accessories
206884046,accessories
189154834,accessories
40382885,accessories
163332536,accessories
201939267,accessories
212220399,accessories
206561576,accessories
149328531,accessories
39405306,accessories
39369678,accessories
16684891,accessories
172017889,accessories
208892188,accessories
192202919,accessories
180279379,accessories
135939350,accessories
119146029,accessories
117360264,accessories
185251783,accessories
118419071,accessories
123403442,accessories
186540746,accessories
204628054,accessories
686389,accessories
38208877,accessories
202182960,accessories
167047152,accessories
92024012,accessories
123738248,accessories
100357175,accessories
165233320,accessories
201436222,accessories
139952034,accessories
108751009,accessories
11652684,accessories
206041374,accessories
8676484,accessories
80515088,accessories
209967254,accessories
206994342,accessories
148691574,accessories
62833514,accessories
168253252,accessories
165711099,accessories
52120193,accessories
85222470,accessories
170076208,accessories
135754894,accessories
16090234,accessories
85444698,accessories
196808193,accessories
104537950,accessories
148316553,accessories
7765544,accessories
43630785,accessories
210094150,accessories
118303739,accessories
184952185,accessories
180755662,accessories
50235496,accessories
208333156,accessories
193406219,accessories
205207753,accessories
205339240,accessories
161607295,accessories
191669626,accessories
176242093,accessories
100545735,accessories
68757308,accessories
188605259,accessories
150536187,accessories
173436514,accessories
116513418,accessories
99469904,accessories
194171425,accessories
208430002,accessories
36654169,accessories
199534489,accessories
120609695,accessories
6664194,accessories
51278603,accessories
111491079,accessories
57720370,accessories
150059094,accessories
152924841,accessories
206683100,accessories
172444603,accessories
181012464,accessories
157694775,accessories
142637181,accessories
182169191,accessories
184082224,accessories
84509816,accessories
146760715,accessories
85419931,accessories
168036160,accessories
130774745,accessories
95792940,accessories
129494973,accessories
158523617,accessories
159620449,accessories
13251942,accessories
174914294,accessories
34109288,accessories
170127991,accessories
7653675,accessories
172123537,accessories
78182231,accessories
97754624,accessories
180844599,accessories
170220329,accessories
188558837,accessories
143711649,accessories
108967800,accessories
99828386,accessories
182701916,accessories
113927046,accessories
177988948,accessories
79949526,accessories
199703442,accessories
32986454,accessories
209955155,accessories
19558849,accessories
135096667,accessories
141119105,accessories
113417263,accessories
172724058,accessories
136086120,accessories
62420767,accessories
86017095,accessories
166935805,accessories
191773760,accessories
92828218,accessories
173978633,accessories
109324353,accessories
170772690,accessories
129477580,accessories
187307532,accessories
66010705,accessories
179575270,accessories
29634888,accessories
150706556,accessories
109140682,accessories
190300966,accessories
47847968,accessories
71925687,accessories
183787164,accessories
212028354,accessories
125504751,accessories
156935902,accessories
194717353,accessories
191051313,accessories
171819167,accessories
14392861,accessories
142393061,accessories
100481808,accessories
205750787,accessories
184263551,accessories
62220274,accessories
189691115,accessories
176702640,accessories
76081180,accessories
96693572,accessories
168797620,accessories
152085573,accessories
126686019,accessories
172724127,accessories
8741826,accessories
110607007,accessories
141262525,accessories
97229195,accessories
117197390,accessories
177411454,accessories
154021864,accessories
202544473,accessories
136792853,accessories
200343636,accessories
73784586,accessories
122054152,accessories
55089686,accessories
52103031,accessories
144855533,accessories
125590168,accessories
319082,accessories
93562124,accessories
88308339,accessories
206565324,accessories
193620268,accessories
105985543,accessories
188457819,accessories
152180375,accessories
137510682,accessories
59488578,accessories
100056678,accessories
152168190,accessories
192152406,accessories
189243341,accessories
117796962,accessories
98210952,accessories
202128965,accessories
188643209,accessories
166444838,accessories
49287820,accessories
138248302,accessories
151140664,accessories
204703901,accessories
95048249,accessories
210982737,accessories
125940586,accessories
169265719,accessories
66753639,accessories
148482437,accessories
205947252,accessories
157787478,accessories
66729317,accessories
197268117,accessories
73076759,accessories
111365925,accessories
184951102,accessories
212921856,accessories
138330423,accessories
175269965,accessories
148125350,accessories
151214058,accessories
199522599,accessories
24169161,accessories
195624311,accessories
204625635,accessories
105687217,accessories
173003255,accessories
176825181,accessories
67607386,accessories
16621335,accessories
165781887,accessories
171067653,accessories
192553305,accessories
139806234,accessories
210544142,accessories
97907892,accessories
72014808,accessories
44194627,accessories
181149709,accessories
129656441,accessories
8139101,accessories
211680808,accessories
206279004,accessories
112602789,accessories
147582750,accessories
107546003,accessories
190533502,accessories
168510821,accessories
110060598,accessories
154706983,accessories
208958844,accessories
146318525,accessories
163848073,accessories
107763476,accessories
92751741,accessories
71325042,accessories
208248273,accessories
8495818,accessories
187634180,accessories
148807147,accessories
73767438,accessories
140363374,accessories
45166061,accessories
117324120,accessories
96221070,accessories
106271213,accessories
213368304,accessories
79384886,accessories
163319558,accessories
137072726,accessories
62481387,accessories
104669815,accessories
188402573,accessories
104935725,accessories
169046607,accessories
170543269,accessories
57957719,accessories
120670123,accessories
53074886,accessories
145317780,accessories
177542667,accessories
7300145,accessories
186048546,accessories
208218735,accessories
204002523,accessories
185178343,accessories
38732150,accessories
148615678,accessories
177334361,accessories
208255685,accessories
213955588,accessories
139337896,accessories
32181128,accessories
121892923,accessories
112348215,accessories
121494213,accessories
149896847,accessories
196124307,accessories
179405007,accessories
53716854,accessories
176317729,accessories
215513855,accessories
184797229,accessories
88136653,accessories
213114887,accessories
143020694,accessories
208399221,accessories
138203223,accessories
185211251,accessories
145141200,accessories
212475031,accessories
163859583,accessories
188262891,accessories
136553837,accessories
184116387,accessories
138335334,accessories
158108712,accessories
158888882,accessories
202970604,accessories
87750670,accessories
106895507,accessories
109762707,accessories
139626264,accessories
146781794,accessories
83810198,accessories
91703540,accessories
133979194,accessories
199951967,accessories
120467868,accessories
185293541,accessories
38400478,accessories
116091727,accessories
189792789,accessories
116275765,accessories
189477273,accessories
112691904,accessories
71479862,accessories
86194367,accessories
127612975,accessories
192366927,accessories
57587981,accessories
153349329,accessories
155325681,accessories
116391560,accessories
172913288,accessories
162062652,accessories
208575273,accessories
193825919,accessories
159455666,accessories
207263713,accessories
197259423,accessories
188261628,accessories
111039040,accessories
205019704,accessories
153155641,accessories
207186361,accessories
147024925,accessories
153205845,accessories
16052702,accessories
51761450,accessories
110810640,accessories
14094670,accessories
47248073,accessories
207951046,accessories
152189030,accessories
57022353,accessories
180892898,accessories
162732935,accessories
189076349,accessories
95943045,accessories
126555847,accessories
135892689,accessories
43338782,accessories
77408384,accessories
134701365,accessories
156253237,accessories
52815722,accessories
187186100,accessories
141497056,accessories
90192719,accessories
80534779,accessories
71212466,accessories
188638670,accessories
132895660,accessories
10802509,accessories
152244426,accessories
183285271,accessories
198217025,accessories
153814537,accessories
122097029,accessories
156440222,accessories
133209745,accessories
190291277,accessories
22097581,accessories
80288008,accessories
126683638,accessories
203803913,accessories
67485461,accessories
81831113,accessories
202265358,accessories
211155187,accessories
153801407,accessories
211966389,accessories
193930121,accessories
160921538,accessories
201995808,accessories
143804916,accessories
130482958,accessories
68163132,accessories
142539979,accessories
98764521,accessories
180382472,accessories
143852448,accessories
156963,accessories
206627966,accessories
128472092,accessories
115558299,accessories
186678221,accessories
14556471,accessories
53517849,accessories
212871894,accessories
152148963,accessories
156903711,accessories
206828009,accessories
196295306,accessories
73490228,accessories
88298252,accessories
126349844,accessories
153656844,accessories
210419219,accessories
157173938,accessories
46402294,accessories
133316438,accessories
120510815,accessories
68839048,accessories
67024970,accessories
128521943,accessories
184401363,accessories
169022050,accessories
70572698,accessories
105998533,accessories
189703648,accessories
185824787,accessories
192963017,accessories
66326060,accessories
212566105,accessories
117153028,accessories
132431058,accessories
207258746,accessories
127144483,accessories
180236035,accessories
98585254,accessories
194537235,accessories
115642170,accessories
128019484,accessories
152568656,accessories
171945660,accessories
97067738,accessories
154914169,accessories
156844318,accessories
165390694,accessories
168000646,accessories
157005187,accessories
186416630,accessories
140311934,accessories
130917091,accessories
92189730,accessories
158855069,accessories
83513484,accessories
112973891,accessories
182375687,accessories
89424840,accessories
92865604,accessories
96759097,accessories
