ID,Semantic_category
183179503,bottoms
142458783,bottoms
208594689,bottoms
57062400,bottoms
195946605,bottoms
147376124,bottoms
161483519,bottoms
173236882,bottoms
203979464,bottoms
116973490,bottoms
45746509,bottoms
206616694,bottoms
180202447,bottoms
126470179,bottoms
91948193,bottoms
209830079,bottoms
3416784,bottoms
184830807,bottoms
121351723,bottoms
130947729,bottoms
207928597,bottoms
123656518,bottoms
146216380,bottoms
58877964,bottoms
145585027,bottoms
160938418,bottoms
214456855,bottoms
190634963,bottoms
104934947,bottoms
131009913,bottoms
135940371,bottoms
150151001,bottoms
211565760,bottoms
69421578,bottoms
71632597,bottoms
142369781,bottoms
166938043,bottoms
203524086,bottoms
203527526,bottoms
33082829,bottoms
87011893,bottoms
164278204,bottoms
207368256,bottoms
169638921,bottoms
141904332,bottoms
53208411,bottoms
138129101,bottoms
145212745,bottoms
144855367,bottoms
33707179,bottoms
196368988,bottoms
187887801,bottoms
208286610,bottoms
78419238,bottoms
122738235,bottoms
53737171,bottoms
56119211,bottoms
202623837,bottoms
179663360,bottoms
92888149,bottoms
191246592,bottoms
141789192,bottoms
211944051,bottoms
133170535,bottoms
105417439,bottoms
158962670,bottoms
142580253,bottoms
202608217,bottoms
113262524,bottoms
107382921,bottoms
106726370,bottoms
159168259,bottoms
146955077,bottoms
152145948,bottoms
59583100,bottoms
167583548,bottoms
179440126,bottoms
212646559,bottoms
185314980,bottoms
207799718,bottoms
202169736,bottoms
205274987,bottoms
210347528,bottoms
163716145,bottoms
148910854,bottoms
189669800,bottoms
212150279,bottoms
183858460,bottoms
149624008,bottoms
170283938,bottoms
105240574,bottoms
192874895,bottoms
146851776,bottoms
115554169,bottoms
195411094,bottoms
67801643,bottoms
144418062,bottoms
194708105,bottoms
123139859,bottoms
54838974,bottoms
169271562,bottoms
69367146,bottoms
96294430,bottoms
159403739,bottoms
207024496,bottoms
195370211,bottoms
101390237,bottoms
46465333,bottoms
213785806,bottoms
201897430,bottoms
91948241,bottoms
177846481,bottoms
193570556,bottoms
126844858,bottoms
204004994,bottoms
150730451,bottoms
210447641,bottoms
144424087,bottoms
191537320,bottoms
140553400,bottoms
156441423,bottoms
86417490,bottoms
71791901,bottoms
130464362,bottoms
114722700,bottoms
213952612,bottoms
47992002,bottoms
195351959,bottoms
185185185,bottoms
153101397,bottoms
168372734,bottoms
205917490,bottoms
146033703,bottoms
208819182,bottoms
127525233,bottoms
181278063,bottoms
118603876,bottoms
198105525,bottoms
197401524,bottoms
102570993,bottoms
114122099,bottoms
17981295,bottoms
12553904,bottoms
62889579,bottoms
206780505,bottoms
107963078,bottoms
138010794,bottoms
191723626,bottoms
32080087,bottoms
193577712,bottoms
171125773,bottoms
160690657,bottoms
88894875,bottoms
130014732,bottoms
209018096,bottoms
214699402,bottoms
49429846,bottoms
145297611,bottoms
172942641,bottoms
193563138,bottoms
179591770,bottoms
12187339,bottoms
102561005,bottoms
114738267,bottoms
160188105,bottoms
199841692,bottoms
14812771,bottoms
213025862,bottoms
110570571,bottoms
69128729,bottoms
87688867,bottoms
145154869,bottoms
174719782,bottoms
91655818,bottoms
80788975,bottoms
51260967,bottoms
204467433,bottoms
99486249,bottoms
65832301,bottoms
81656595,bottoms
203391315,bottoms
187982740,bottoms
47601245,bottoms
128186252,bottoms
206715332,bottoms
170229439,bottoms
184987308,bottoms
154337694,bottoms
17041692,bottoms
92668539,bottoms
203578321,bottoms
29907030,bottoms
214910648,bottoms
209511133,bottoms
141375288,bottoms
31116413,bottoms
113448011,bottoms
204893348,bottoms
51370841,bottoms
168558136,bottoms
111382691,bottoms
207407124,bottoms
188407489,bottoms
213086023,bottoms
106855692,bottoms
119187682,bottoms
19868372,bottoms
147993451,bottoms
127065501,bottoms
96022669,bottoms
155152584,bottoms
193895816,bottoms
206824932,bottoms
206285685,bottoms
193041188,bottoms
190777597,bottoms
133905862,bottoms
201798750,bottoms
73207729,bottoms
74086483,bottoms
153502736,bottoms
108278603,bottoms
213408947,bottoms
144430640,bottoms
141926948,bottoms
161502641,bottoms
91028336,bottoms
176976043,bottoms
110132917,bottoms
92128510,bottoms
187471029,bottoms
187342314,bottoms
73021724,bottoms
196684750,bottoms
197974841,bottoms
116803778,bottoms
211631737,bottoms
172135784,bottoms
192891507,bottoms
182006076,bottoms
45618665,bottoms
133249889,bottoms
122547234,bottoms
15143507,bottoms
149667542,bottoms
158093120,bottoms
166271922,bottoms
146758416,bottoms
201266135,bottoms
214050827,bottoms
128423336,bottoms
166892327,bottoms
184729059,bottoms
156452058,bottoms
118873600,bottoms
143051075,bottoms
139923671,bottoms
27214959,bottoms
214249489,bottoms
198621121,bottoms
109056741,bottoms
198639542,bottoms
29538257,bottoms
177293502,bottoms
115584926,bottoms
202766008,bottoms
150645485,bottoms
119300184,bottoms
60284879,bottoms
203490174,bottoms
185927854,bottoms
124493975,bottoms
170538453,bottoms
52475767,bottoms
116491639,bottoms
78552663,bottoms
71662950,bottoms
210552712,bottoms
47585035,bottoms
200919968,bottoms
174772295,bottoms
60797596,bottoms
142693946,bottoms
138002195,bottoms
159487262,bottoms
190922584,bottoms
213665954,bottoms
165576971,bottoms
197002559,bottoms
193252017,bottoms
148191554,bottoms
188093021,bottoms
102677824,bottoms
76792353,bottoms
205129204,bottoms
102190341,bottoms
177819357,bottoms
141845108,bottoms
202120286,bottoms
215210092,bottoms
199174686,bottoms
162256774,bottoms
209584693,bottoms
200185897,bottoms
131138208,bottoms
125474597,bottoms
158498004,bottoms
69196965,bottoms
208628195,bottoms
207403845,bottoms
66944616,bottoms
181732574,bottoms
124461011,bottoms
151118706,bottoms
172546211,bottoms
95459870,bottoms
35586303,bottoms
78276198,bottoms
30452505,bottoms
113055429,bottoms
158744773,bottoms
207607469,bottoms
120725278,bottoms
167273244,bottoms
143091811,bottoms
158353681,bottoms
76710745,bottoms
200298832,bottoms
115860585,bottoms
211834131,bottoms
186065655,bottoms
108024592,bottoms
93410653,bottoms
144821106,bottoms
115094951,bottoms
151555658,bottoms
48998777,bottoms
170313438,bottoms
185766426,bottoms
182529955,bottoms
204256121,bottoms
81575645,bottoms
75890125,bottoms
153692884,bottoms
65018830,bottoms
50454687,bottoms
89765040,bottoms
194625411,bottoms
174846916,bottoms
196574702,bottoms
203507505,bottoms
143334616,bottoms
204072072,bottoms
138337337,bottoms
159020613,bottoms
138575466,bottoms
51722520,bottoms
86167739,bottoms
127512532,bottoms
173179275,bottoms
214592124,bottoms
209175353,bottoms
104256666,bottoms
199647675,bottoms
42547924,bottoms
145992901,bottoms
164126450,bottoms
133181450,bottoms
185754672,bottoms
188018830,bottoms
182566282,bottoms
187521863,bottoms
114616791,bottoms
151604517,bottoms
196732657,bottoms
44468440,bottoms
209816310,bottoms
150786100,bottoms
64726626,bottoms
34519725,bottoms
117858404,bottoms
209808122,bottoms
197225250,bottoms
15325152,bottoms
128395491,bottoms
209758198,bottoms
200796374,bottoms
184320419,bottoms
204723379,bottoms
52666369,bottoms
195296792,bottoms
78945373,bottoms
118309167,bottoms
22181165,bottoms
213664080,bottoms
75483351,bottoms
213299575,bottoms
152849240,bottoms
76079048,bottoms
151889137,bottoms
145420959,bottoms
191539592,bottoms
193479520,bottoms
128191887,bottoms
165662428,bottoms
174360818,bottoms
191963601,bottoms
46155496,bottoms
92290857,bottoms
82755532,bottoms
208699542,bottoms
194011366,bottoms
160147412,bottoms
133258865,bottoms
199490366,bottoms
120577015,bottoms
30022896,bottoms
171933910,bottoms
196361910,bottoms
184416103,bottoms
55721809,bottoms
25999377,bottoms
194808860,bottoms
185063887,bottoms
94303252,bottoms
185530656,bottoms
65952878,bottoms
153224897,bottoms
43992817,bottoms
47251176,bottoms
209194647,bottoms
181836567,bottoms
101183209,bottoms
42537256,bottoms
204784322,bottoms
