ID,Semantic_category
203116108,shoes
186722641,shoes
210638346,shoes
154119451,shoes
139785717,shoes
139993623,shoes
18929854,shoes
85312382,shoes
210373455,shoes
144876590,shoes
210962988,shoes
205908506,shoes
195464459,shoes
113517677,shoes
146356864,shoes
144744853,shoes
109291700,shoes
49645186,shoes
208654587,shoes
79390527,shoes
133459904,shoes
121926653,shoes
97956837,shoes
188330733,shoes
196270089,shoes
175297829,shoes
77932206,shoes
204740053,shoes
188374628,shoes
170842717,shoes
213357156,shoes
198168687,shoes
210472977,shoes
151680026,shoes
61152083,shoes
215409293,shoes
180906126,shoes
192930522,shoes
150730976,shoes
195165561,shoes
138104688,shoes
77941042,shoes
204803959,shoes
91814352,shoes
188640801,shoes
84939685,shoes
170255404,shoes
10948423,shoes
180378830,shoes
205334268,shoes
93224918,shoes
137174212,shoes
186754073,shoes
203764882,shoes
162994419,shoes
164444661,shoes
202943882,shoes
200412600,shoes
49569999,shoes
213937560,shoes
162374887,shoes
180961442,shoes
204910962,shoes
167766944,shoes
206932110,shoes
134539594,shoes
204899003,shoes
181831204,shoes
191812863,shoes
178428938,shoes
183751849,shoes
76072366,shoes
210501905,shoes
191800833,shoes
111471139,shoes
114169237,shoes
180666946,shoes
157099315,shoes
199834655,shoes
183421908,shoes
122967529,shoes
215392067,shoes
52058735,shoes
146639631,shoes
186042868,shoes
95292752,shoes
85338955,shoes
70134023,shoes
215210308,shoes
202843483,shoes
72362845,shoes
146284535,shoes
180095819,shoes
210863536,shoes
40167793,shoes
201776647,shoes
96961021,shoes
50645036,shoes
92124335,shoes
161172541,shoes
106926227,shoes
192324541,shoes
180804264,shoes
107423248,shoes
185604824,shoes
111167454,shoes
168590262,shoes
179581025,shoes
214991554,shoes
79959915,shoes
143903044,shoes
186098084,shoes
76860479,shoes
188794709,shoes
68136793,shoes
207097776,shoes
88871050,shoes
165901668,shoes
106340838,shoes
172482275,shoes
146796252,shoes
180818375,shoes
78848318,shoes
122140344,shoes
138846014,shoes
194768292,shoes
123282118,shoes
175716858,shoes
79155317,shoes
200589676,shoes
196229074,shoes
160549321,shoes
101223622,shoes
195911103,shoes
144522076,shoes
213467581,shoes
167785452,shoes
60671555,shoes
102355374,shoes
154486757,shoes
33166520,shoes
159158818,shoes
144591983,shoes
40319296,shoes
150909412,shoes
194003190,shoes
44381028,shoes
115940835,shoes
161950492,shoes
200191243,shoes
85866803,shoes
179031651,shoes
85940593,shoes
201618500,shoes
188954785,shoes
43616478,shoes
100459835,shoes
90729788,shoes
72178306,shoes
145691944,shoes
32062492,shoes
71056104,shoes
208034249,shoes
156322757,shoes
32455935,shoes
77261759,shoes
206531178,shoes
167161308,shoes
151511658,shoes
158290741,shoes
100344935,shoes
133866445,shoes
197344431,shoes
82997579,shoes
83995528,shoes
125915774,shoes
185748668,shoes
134703917,shoes
207827421,shoes
202008513,shoes
199997983,shoes
131419078,shoes
148482862,shoes
47814328,shoes
110459620,shoes
204819198,shoes
204627221,shoes
205226079,shoes
134984500,shoes
206491936,shoes
49032725,shoes
159376568,shoes
22166404,shoes
184074367,shoes
122269316,shoes
144801459,shoes
4859923,shoes
88277782,shoes
117914550,shoes
180144228,shoes
206564402,shoes
137907918,shoes
170049835,shoes
120623607,shoes
113654289,shoes
197569727,shoes
154884885,shoes
158431254,shoes
167571884,shoes
68522895,shoes
187887058,shoes
165906628,shoes
201181660,shoes
101782423,shoes
155170527,shoes
75069529,shoes
207658981,shoes
177991382,shoes
176532338,shoes
137062793,shoes
153330392,shoes
92454098,shoes
141872568,shoes
192982951,shoes
94433975,shoes
215037754,shoes
145621187,shoes
92307165,shoes
207645471,shoes
208750218,shoes
134739696,shoes
199371498,shoes
113641512,shoes
129066182,shoes
148632564,shoes
192276898,shoes
44366670,shoes
178377150,shoes
211601573,shoes
211267103,shoes
157610674,shoes
184921128,shoes
158778091,shoes
89552218,shoes
73988042,shoes
62979733,shoes
146046377,shoes
200078059,shoes
184087161,shoes
214264843,shoes
157893136,shoes
79676853,shoes
120833293,shoes
191234935,shoes
160411136,shoes
213200640,shoes
101187173,shoes
199673258,shoes
112069335,shoes
201079447,shoes
206453483,shoes
179590845,shoes
47270149,shoes
171877865,shoes
187601158,shoes
169557936,shoes
13176745,shoes
211124792,shoes
112373748,shoes
129327903,shoes
126604081,shoes
121707231,shoes
159079448,shoes
199321476,shoes
206999662,shoes
99923242,shoes
180759503,shoes
112421682,shoes
51022447,shoes
156154987,shoes
171044368,shoes
181110803,shoes
184675051,shoes
205311920,shoes
194215913,shoes
201845615,shoes
176718698,shoes
115260121,shoes
186738670,shoes
186521426,shoes
198592916,shoes
140393249,shoes
130028352,shoes
211762574,shoes
1120036,shoes
210821459,shoes
113591256,shoes
198231332,shoes
149086588,shoes
208174732,shoes
80032200,shoes
71364144,shoes
198600357,shoes
211628181,shoes
70624281,shoes
181796287,shoes
139861582,shoes
61044212,shoes
133902838,shoes
155224377,shoes
189301880,shoes
194983677,shoes
207065130,shoes
196849823,shoes
141671549,shoes
138617659,shoes
91740759,shoes
52982549,shoes
150605882,shoes
134711183,shoes
209925185,shoes
199838672,shoes
154490192,shoes
204638158,shoes
160131360,shoes
134362643,shoes
188901866,shoes
153162893,shoes
26077267,shoes
82197836,shoes
201226168,shoes
156458251,shoes
92433654,shoes
179517186,shoes
206198420,shoes
44375134,shoes
211462903,shoes
179848009,shoes
100873718,shoes
188582346,shoes
95846249,shoes
196346882,shoes
78599516,shoes
99596387,shoes
159591317,shoes
146983898,shoes
187417722,shoes
115392474,shoes
187331420,shoes
182333441,shoes
208173135,shoes
195894366,shoes
209584172,shoes
159129225,shoes
117094114,shoes
86403615,shoes
173811366,shoes
205037989,shoes
204935867,shoes
182718754,shoes
195939776,shoes
179907475,shoes
130799236,shoes
156634762,shoes
140933492,shoes
131858115,shoes
213253242,shoes
199174831,shoes
120927058,shoes
180236001,shoes
110023664,shoes
151971832,shoes
162672277,shoes
154437379,shoes
165016181,shoes
113953327,shoes
184693526,shoes
146833628,shoes
205708234,shoes
131559721,shoes
185295743,shoes
109870166,shoes
155033944,shoes
149871803,shoes
98706013,shoes
88223347,shoes
181880857,shoes
152088580,shoes
196604814,shoes
49933193,shoes
