compatibility,item_1,item_2,item_3,item_4
1,161950492,209505560,50235496,200639682
1,162996731,101135627,117877491,195873414
1,206536282,69300323,190314312,14810374
1,203564214,176456914,208018949,169945818
1,161953860,112003459,174610981,104665298
1,115201200,93012794,110789206,111949710
1,162736113,174589013,143697682,175119477
1,162300401,168955377,172447802,169662939
1,214329063,176988038,116201835,213458656
1,176682288,183077401,176773631,181732574
1,209988175,208674006,212844190,209194647
1,173221745,168571611,176317729,171142714
1,32455935,36270033,33543651,33912340
1,102682879,70963303,104537950,108278603
1,194256050,191570909,201436222,197197834
1,208468550,212356281,209734699,209808819
1,193146341,163669039,183378741,188161594
1,211462903,210384275,211699006,209375418
1,61044212,64378415,67485461,65019071
1,203010475,210769606,206505311,192969187
1,202008513,179109789,89456717,177648624
1,182619108,188111924,148623786,178839117
1,82702834,86907471,38732150,108151646
1,147924345,213103558,209015727,213665954
1,202025235,201826113,200343636,179049884
1,69316831,68674292,67059624,67801643
1,206663394,179670223,206994342,129525041
1,108373225,113725418,110178861,110683716
1,77959463,78611262,78511641,78238418
1,192528116,199950464,199951967,199770266
1,213357156,214249855,214537021,211145017
1,197164022,201544142,190492367,206233559
1,73653208,45691229,72897232,84029192
1,163263319,1027065,179218523,161502641
1,105465833,119397527,89743690,113720013
1,202858470,206301481,174961494,206285685
1,178476811,195498377,161498471,205092148
1,95995613,118271398,88136653,118133081
1,76072366,136473964,130482958,133516503
1,188379161,184596570,186193811,186767710
1,125766446,113629384,124184976,130272990
1,55108786,1230720,44432219,50270560
1,192935178,185944114,192552573,149624008
1,215585515,214603189,207946500,214502858
1,206061273,200298353,198105364,194498259
1,156248058,157028868,148293424,157043290
1,169004728,82574478,65234060,171484959
1,211412517,211159880,184485577,204086724
1,80067796,84416827,75158018,73576542
1,188901866,188901197,188901497,171050077
1,119875439,86066155,119592293,97851403
1,175179793,168532357,176114818,174540804
1,208152780,210314588,209998885,211162164
1,204975400,196088802,142138982,209916964
1,99596387,67255216,105542978,77133423
1,42219137,49577341,38790394,48680804
1,167967668,167451870,202128855,195775735
1,93992710,191056489,209345765,211978861
1,175914182,154162964,181696609,181278063
1,185863201,195884163,147582750,193781982
1,200879611,190901485,185349059,196732657
1,47814328,60799193,61756906,56373179
1,207214996,208742206,205019396,203490174
1,206367601,207603571,205103414,205565891
1,131589764,33610672,143596665,136201747
1,176720394,195545272,181251476,157195547
1,31480454,31994725,35106476,26668202
1,200350529,197342872,194883650,176993998
1,186521426,183633709,187614877,183858460
1,204230814,211429176,213043315,198345101
1,207429949,171222658,209710387,213583775
1,175295945,196375847,165221051,62900359
1,78599516,73111991,77096071,69093354
1,204639793,197418396,209555110,208626557
1,88674532,104232612,110677576,99307137
1,207162326,210214586,209168634,211689043
