item_1,item_2,item_3,item_4,label
161950492,209505560,50235496,200639682,0
158391463,209505560,50235496,200639682,0
138845987,209505560,50235496,200639682,0
86445717,209505560,50235496,200639682,0
159946888,209505560,50235496,200639682,0
161950492,112027441,50235496,200639682,0
161950492,194321254,50235496,200639682,0
161950492,190217910,50235496,200639682,0
161950492,209446362,50235496,200639682,0
161950492,209505560,29844267,200639682,0
161950492,209505560,119775030,200639682,0
161950492,209505560,175794738,200639682,0
161950492,209505560,169791038,200639682,0
161950492,209505560,50235496,148907035,0
161950492,209505560,50235496,155066783,0
161950492,209505560,50235496,191723626,0
161950492,209505560,50235496,196625170,0
162996731,101135627,117877491,195873414,1
195043912,101135627,117877491,195873414,1
92422558,101135627,117877491,195873414,1
194130656,101135627,117877491,195873414,1
96014574,101135627,117877491,195873414,1
162996731,145299995,117877491,195873414,1
162996731,164917385,117877491,195873414,1
162996731,211744520,117877491,195873414,1
162996731,182907258,117877491,195873414,1
162996731,101135627,194261111,195873414,1
162996731,101135627,212277176,195873414,1
162996731,101135627,152036640,195873414,1
162996731,101135627,23542008,195873414,1
162996731,101135627,117877491,193230700,1
162996731,101135627,117877491,118169601,1
162996731,101135627,117877491,143538192,1
162996731,101135627,117877491,8444460,1
206536282,69300323,190314312,14810374,2
136677051,69300323,190314312,14810374,2
182042189,69300323,190314312,14810374,2
143083947,69300323,190314312,14810374,2
17041692,69300323,190314312,14810374,2
206536282,112768075,190314312,14810374,2
206536282,203628760,190314312,14810374,2
206536282,209189620,190314312,14810374,2
206536282,75701095,190314312,14810374,2
206536282,69300323,98371210,14810374,2
206536282,69300323,109582640,14810374,2
206536282,69300323,165667291,14810374,2
206536282,69300323,173855564,14810374,2
206536282,69300323,190314312,185053751,2
206536282,69300323,190314312,196401923,2
206536282,69300323,190314312,117488893,2
206536282,69300323,190314312,105806414,2
203564214,176456914,208018949,169945818,3
79469827,176456914,208018949,169945818,3
60566548,176456914,208018949,169945818,3
148373416,176456914,208018949,169945818,3
161098695,176456914,208018949,169945818,3
203564214,128151874,208018949,169945818,3
203564214,204275222,208018949,169945818,3
203564214,188484142,208018949,169945818,3
203564214,37248138,208018949,169945818,3
203564214,176456914,53943951,169945818,3
203564214,176456914,187252069,169945818,3
203564214,176456914,49482909,169945818,3
203564214,176456914,125442981,169945818,3
203564214,176456914,208018949,200884188,3
203564214,176456914,208018949,143231211,3
203564214,176456914,208018949,159202313,3
203564214,176456914,208018949,127742323,3
161953860,112003459,174610981,104665298,4
209125387,112003459,174610981,104665298,4
212149151,112003459,174610981,104665298,4
119982105,112003459,174610981,104665298,4
134002219,112003459,174610981,104665298,4
161953860,190334495,174610981,104665298,4
161953860,207708247,174610981,104665298,4
161953860,196479650,174610981,104665298,4
161953860,147312091,174610981,104665298,4
161953860,112003459,208903003,104665298,4
161953860,112003459,197390489,104665298,4
161953860,112003459,205177789,104665298,4
161953860,112003459,188186594,104665298,4
161953860,112003459,174610981,205327390,4
161953860,112003459,174610981,204797736,4
161953860,112003459,174610981,154208648,4
161953860,112003459,174610981,116918289,4
115201200,93012794,110789206,111949710,5
172942444,93012794,110789206,111949710,5
106634342,93012794,110789206,111949710,5
181672975,93012794,110789206,111949710,5
123184948,93012794,110789206,111949710,5
115201200,182580753,110789206,111949710,5
115201200,175317365,110789206,111949710,5
115201200,136666235,110789206,111949710,5
115201200,178192802,110789206,111949710,5
115201200,93012794,158957887,111949710,5
115201200,93012794,23851788,111949710,5
115201200,93012794,133375738,111949710,5
115201200,93012794,150326600,111949710,5
115201200,93012794,110789206,184112837,5
115201200,93012794,110789206,174191673,5
115201200,93012794,110789206,205016394,5
115201200,93012794,110789206,196234698,5
162736113,174589013,143697682,175119477,6
59328822,174589013,143697682,175119477,6
183875097,174589013,143697682,175119477,6
162672277,174589013,143697682,175119477,6
145642452,174589013,143697682,175119477,6
162736113,46504722,143697682,175119477,6
162736113,212942950,143697682,175119477,6
162736113,157005187,143697682,175119477,6
162736113,27215870,143697682,175119477,6
162736113,174589013,133345080,175119477,6
162736113,174589013,201776647,175119477,6
162736113,174589013,212400788,175119477,6
162736113,174589013,157845050,175119477,6
162736113,174589013,143697682,201030270,6
162736113,174589013,143697682,142498491,6
162736113,174589013,143697682,145002790,6
162736113,174589013,143697682,178051344,6
162300401,168955377,172447802,169662939,7
207205439,168955377,172447802,169662939,7
205308182,168955377,172447802,169662939,7
209878801,168955377,172447802,169662939,7
79599311,168955377,172447802,169662939,7
162300401,206194692,172447802,169662939,7
162300401,143842215,172447802,169662939,7
162300401,147915518,172447802,169662939,7
162300401,202606252,172447802,169662939,7
162300401,168955377,210185108,169662939,7
162300401,168955377,143073072,169662939,7
162300401,168955377,133357210,169662939,7
162300401,168955377,164322952,169662939,7
162300401,168955377,172447802,188623262,7
162300401,168955377,172447802,65018830,7
162300401,168955377,172447802,130489717,7
162300401,168955377,172447802,176945836,7
214329063,176988038,116201835,213458656,8
138887487,176988038,116201835,213458656,8
177493618,176988038,116201835,213458656,8
184780478,176988038,116201835,213458656,8
75780219,176988038,116201835,213458656,8
214329063,169801597,116201835,213458656,8
214329063,144936180,116201835,213458656,8
214329063,12465525,116201835,213458656,8
214329063,70624246,116201835,213458656,8
214329063,176988038,121892923,213458656,8
214329063,176988038,180385072,213458656,8
214329063,176988038,168983173,213458656,8
214329063,176988038,104194716,213458656,8
214329063,176988038,116201835,178476502,8
214329063,176988038,116201835,134808968,8
214329063,176988038,116201835,136705979,8
214329063,176988038,116201835,35829107,8
176682288,183077401,176773631,181732574,9
68505948,183077401,176773631,181732574,9
