compatibility,item_1,item_2,item_3,item_4
0,208087361,199591942,204641014,146255745
0,178900365,194135128,137072726,213243001
0,196998881,167013501,183280024,213177436
0,211028341,191689918,78480659,204886736
0,210472977,195525219,175777502,47909717
1,206531178,206723105,206430384,194361962
1,206367601,207603571,205103414,205565891
1,181140072,182698240,178124136,178830262
1,145592570,88126548,170810340,119704925
0,198661109,173431050,66753639,213083871
0,204000396,145942258,185967782,125636346
1,207429949,171222658,209710387,213583775
1,195487616,180380570,202014524,202186330
1,189699989,189536855,190300966,172706076
0,196005679,64366574,170640334,209169231
1,204134261,186143606,205939072,198491256
0,193011909,199559228,120656841,204662273
0,154603353,191551883,208218735,185216331
0,157939940,76184639,193563232,153563900
1,175297829,211222129,208283772,211834131
1,113999131,109304607,105958481,100844256
1,191909658,203251063,199078517,197627169
1,192109137,165103457,184401363,191867595
1,176728448,200738460,207703106,195394560
1,209333848,183205054,194157084,187955729
0,73483816,77858298,141838737,73350627
1,207609360,211124106,211124745,199825468
1,144756612,134253592,145141200,140749133
1,211812604,209128860,178461625,214029076
0,177700424,205061794,99469904,192711141
1,89556767,135901129,130774655,104052247
0,151954619,140961144,208076527,206715332
0,200106805,55909437,176114818,186767710
0,169232282,182695315,179472725,169025634
0,172317765,133643339,111039040,193570556
1,129955180,126399244,133375738,133141346
0,183793818,141199466,192900766,193041188
1,189208183,190262452,182733954,190262730
1,212029399,212029216,208412573,212029169
1,119145340,153692253,161399156,108433073
1,155790654,173086208,167942091,15626240
0,146507091,67844542,188847265,173945750
1,195437398,196007340,128648739,193479520
1,89590091,81109116,73846223,81724265
1,201443576,193622106,192553305,194421630
1,170183628,138220883,165558877,169989757
0,79596516,86915627,169022615,209508698
1,96119111,94787879,88309150,94269059
1,213196140,209711184,208045227,211576263
0,134711183,127487178,174870639,208584957
1,134691092,136218370,135776482,133905862
0,201044262,189698091,210024365,207368256
0,152181721,206882660,198253464,212848233
0,205954303,182330686,176320123,208621746
0,141928058,52297245,184401363,146209418
0,139204127,191111515,159257155,183079939
1,205645505,189395371,207939195,195717607
1,77899829,135697649,8987188,151495930
0,202252263,206555216,213111996,176914890
1,177400740,208300370,208312660,208621746
1,197815069,195996543,187876447,181364543
1,127204181,114276236,128450377,207890907
0,28346059,199172051,70937243,53433128
0,165906628,115041056,199493769,17041692
1,201963728,52250424,188828124,194154216
1,80032200,67680171,100481808,77280975
0,204233344,194942014,198410963,208628886
0,186229128,207925675,14446600,173070868
0,123469637,155044799,76230111,42876230
1,142389636,214292739,199748405,193702037
0,188632218,128191884,212220399,103364077
1,117094114,101355380,112602789,22103494
0,202671115,107564646,199857444,213430506
0,195317733,138527092,185211251,188407489
1,117376995,124318443,119146029,101303851
0,205502473,195470569,208575273,151938690
0,190020728,213198151,208399221,212735132
0,129005558,201993472,205103414,189318500
1,156355974,148982424,154706983,141873497
0,146186759,168304740,204849529,200034069
1,182299699,212559693,203678750,194095658
0,128245542,213319398,195624311,144471308
0,156799276,178192802,68839048,161250360
1,211889919,195503116,206615573,195469995
1,194821143,171679288,170052113,193252017
0,212221489,132844199,127793093,77793314
0,196212938,74501268,686389,209126409
1,210104512,208741976,163517662,211542202
1,92124335,43986099,114134990,95198643
0,179100917,197316325,190536889,195296792
0,146796252,194716532,132570322,201718536
1,109870166,160104044,160116931,127189106
1,197418010,215633597,96221070,146027938
0,209817753,196444904,206160968,118094678
1,142959405,172256808,168983173,171070612
1,159272764,156726298,111491079,154367235
1,178476811,195498377,161498471,205092148
0,163655839,200108581,166052121,154367235
0,109494200,159373083,206825423,214700620
1,61044212,64378415,67485461,65019071
0,191422682,183754757,152401336,147993451
1,182619108,188111924,148623786,178839117
1,93832326,95196449,47316736,99527158
0,192276898,136823901,150543897,203672672
0,203357521,153031662,160921538,201893932
0,186826464,210544460,95399191,184694144
0,198769597,202483161,56019936,214794333
0,195916192,209923438,136180503,192943811
0,187887058,192745223,153688590,203677655
1,153510121,196006404,193930121,199539877
1,139045737,137889820,135644865,139542209
1,135794791,135797760,138330423,138496145
1,193875683,192365137,189844551,192779426
1,205051845,204388175,204481858,203607366
1,114000728,121916513,115331633,119836347
0,65582665,133699927,190889340,190549441
1,199834655,194642111,201618201,200619698
0,117799587,192047541,211078764,188679802
0,167967668,191531087,206664116,192995815
0,169451298,122015860,170904692,180511027
0,193767455,164101322,206068247,185083512
1,193551265,157415984,188640797,190975943
0,30247321,33610672,183032278,205826202
0,92452597,48438148,208045227,208794502
1,204942331,205200483,189693758,205431544
0,183813857,209360411,63853934,202424124
1,174544540,207459613,211636671,204080549
0,156775484,171176703,194758763,130272990
1,162392566,171345594,192445052,203331320
1,198416515,156526791,199166289,188020575
0,115209508,177124255,152529547,17156816
0,127200642,212088857,179116919,161483519
1,202377463,201133006,198745091,197974841
1,213238258,210595391,207078519,206376691
0,113471358,179047305,140996714,106950935
1,188646189,201651435,201653121,201653798
1,32455935,36270033,33543651,33912340
0,113790430,188765891,193948267,206148884
0,172403975,197774591,156839141,210537696
0,201028853,170457242,190829137,172009964
0,160149287,204612577,182198050,201205936
0,184628084,174145673,180259073,182883935
0,203332981,209754438,191683309,206269007
0,199082129,194696597,16242929,143853730
1,72621498,62094133,69658769,56722315
1,210638346,137928558,199923631,146006471
1,214329063,176988038,116201835,213458656
0,207469777,206681737,123309566,206268985
1,209216617,211092676,162062652,209966795
1,186141964,189308905,180844599,181307850
1,76175390,43710865,67087194,64084102
0,176678131,122467595,119592293,54736878
0,208414873,207720737,138424848,202759372
1,147924345,213103558,209015727,213665954
0,125362501,78955036,207703106,191963601
1,15079238,14814328,33677725,15047925
1,190305861,194386702,192798384,188407489
0,164980847,106242683,206589048,207459533
0,204009081,209057152,15814483,96239349
0,138782361,205079962,123917553,176141908
1,144801459,183182442,187291632,193464105
0,105076921,75813117,210036374,204173067
0,193394177,212093696,115331633,146561382
1,112584728,75930872,53331292,54189125
1,123814899,111989215,8495818,127502491
0,188015157,140965013,203666998,204797410
0,86565982,205370712,178476023,184088986
0,193692778,61347990,39059296,140911386
0,198489911,110006471,52144504,188766887
1,126824660,135533276,134012061,138877662
1,204107602,201620605,205757415,193955197
0,166290231,114559171,208899274,213009028
1,41648011,93756917,166650548,199526800
1,203488858,210345318,206279004,206942937
1,190778911,183883874,168510821,162358019
1,40482037,117487362,93181938,132246199
1,131841866,156023183,103148862,65581135
0,206386118,112425197,195275408,195298679
1,186778423,186778608,188457819,186976620
1,181635034,146648934,185919671,195589636
0,207429949,111555797,205750787,201033115
0,117056739,183385210,165221051,706400
1,169004728,82574478,65234060,171484959
0,209433451,213870221,69658769,171484959
0,162905789,190217910,71007312,197342380
1,178250722,178673553,179975388,178682852
0,112881441,28908398,140305904,207019944
0,125498735,170650298,170904692,214502858
1,123184948,122326228,126897594,127466026
0,202020859,133789577,204628054,131562511
1,102985347,67700522,80174712,82187486
0,194916743,199129074,191105978,144763179
0,209353738,207834732,207214157,112033904
0,156681665,8981298,74232212,183517229
1,141871311,202363444,203394322,202231071
0,159491895,207659916,208255685,68463735
0,77689671,63985907,188207811,212068642
1,92307165,97901963,94814378,93575463
0,197595689,212788162,85222470,161616956
0,40482037,211581867,142712862,145200225
0,173815040,208641808,172447802,195039862
0,193876624,195498377,167584127,191550186
1,127508739,152240214,149987948,155694209
0,205100381,127001872,17330294,87793308
0,204800925,205302837,187446763,192891507
0,161606844,197146858,171683025,124177956
0,201580248,186869152,181801987,206482317
0,207964729,94595064,189243341,167302916
0,201384737,202760727,197066988,211488921
0,170661949,142675652,209928294,139287678
0,188585278,118158543,211950429,100874816
1,116670253,119667886,98210952,116955888
1,113471430,162193144,168797620,172119764
1,154119451,177853878,168545636,180176340
1,181683653,190230378,159151316,190339833
0,212039185,124961312,193133187,46703243
1,103151188,101681076,34661372,97780203
0,148482862,200034994,168224191,200959173
1,104330915,89627210,107417462,101255815
0,204958214,157711639,160318722,205282140
0,106673717,120710726,207195440,195351959
0,206952963,213084777,90588168,166432727
1,76815768,34966151,68567686,8444483
