item_1,item_2,item_3,item_4
162507293,169208674,164030546,169307990
111331286,111273640,115802598,116973490
206289517,182220690,208312660,207572022
182654073,181349496,181482708,162325311
126415690,168717418,138390317,15325152
134739696,126477290,126555847,133516503
186668208,187687733,187688490,187483323
60980112,65491915,64800139,61843467
212084434,213332998,212718405,205370441
122546124,119657612,117324120,110589594
176083018,170409951,125338421,124974095
209444999,211694088,196065595,195340662
115717872,121398785,122391717,100758952
48707996,60342740,52103031,38648211
209806503,198732042,208898297,212169127
211730247,190828672,212426416,213087585
168081073,167877917,171798048,144565961
204628357,205326736,199857444,183407150
187262432,186392494,182551457,184403558
201115876,196116843,197454309,186149273
117508926,116943631,117360533,109406482
183727898,183932579,183315673,181595945
96438363,97624246,67988428,96738932
189691077,63004313,195371685,160553078
171309326,150575018,152039886,167260200
134130762,131539979,129494973,135940371
127508739,152240214,149987948,155694209
195270606,161582192,192935923,190549441
118027860,138537231,83810198,79385129
201387100,178696581,194002233,175317027
202385458,147930031,178643616,173210477
14852197,15128648,14422995,10478365
213238258,210595391,207078519,206376691
182845504,136463427,191633632,115914287
108516626,116983489,116242614,115152119
101003390,176897998,179299648,114067198
209179846,209106655,210346036,209481395
202092295,203227478,158550412,188839088
206999662,192886993,195102261,130096473
83345740,136868377,140055410,139309947
123773734,171611984,103352439,171100935
145404899,137692878,23665649,132252236
198206814,201800422,210447072,187974581
191458305,201096699,214015808,173218040
99376531,97971027,93515907,95828892
118522203,126910308,111063720,124461011
204107602,204946370,192202919,203741771
192991256,112720029,126686019,191321451
207480146,144595422,174933764,179319329
87938802,57430635,57944565,65004330
172714931,172713824,172724058,172713269
212676062,201904955,178240160,173492799
200687124,202198475,189981788,167679807
149840877,149840683,192728783,149822220
177472995,206757346,206349995,204166214
208220541,196139252,203133556,212076805
147924345,213103558,209015727,213665954
190546545,204256199,203764814,207708247
194448847,193944807,191822894,198227036
145592570,88126548,170810340,119704925
150645063,90193645,132387375,151870951
193433670,177845579,207857061,7024361
134809177,134492828,9202904,121054782
118684332,121908847,123255534,133066819
186098084,169156003,185178343,180804543
89871043,95224045,25029614,96294430
61426980,63909317,53518970,61505590
210176095,171576246,206891115,202650371
181752388,159274190,95478566,183247474
170619907,39129381,117197390,147045308
179100575,189569708,189717025,196425397
202357837,202553609,202554622,202554319
103370780,77767091,78029835,98320106
148897237,194579053,29538016,171067310
65566295,130149488,62498813,138022716
176567409,195460591,193389383,191693077
171756474,170678531,164724526,172407255
